Mainline_Demand,Onramp_Demand,Time [h]
3507.6414,499.00256,0.0
3489.109,516.14465,0.002777777777777778
3500.4683,539.6164,0.005555555555555556
3492.0076,554.5984,0.008333333333333333
3496.2087,578.5493,0.011111111111111112
3514.3008,592.68616,0.01388888888888889
3488.4492,602.9256,0.016666666666666666
3488.5466,629.9613,0.019444444444444445
3501.4773,653.1451,0.022222222222222223
3498.2397,667.7002,0.025
3496.5068,682.53467,0.02777777777777778
3490.0886,701.4108,0.030555555555555558
3496.4304,713.5539,0.03333333333333333
3500.5571,731.2489,0.036111111111111115
3517.4028,765.51794,0.03888888888888889
3490.6914,776.472,0.04166666666666667
3498.5107,798.6491,0.044444444444444446
3513.3904,816.5183,0.04722222222222222
3508.2751,830.5288,0.05
3509.25,859.21185,0.05277777777777778
3488.0508,880.385,0.05555555555555556
3511.019,880.6088,0.058333333333333334
3511.1265,912.15216,0.061111111111111116
3486.5576,925.82227,0.0638888888888889
3507.118,933.2952,0.06666666666666667
3493.6885,964.13214,0.06944444444444445
3490.42,984.0298,0.07222222222222223
3498.8264,997.19214,0.075
3514.8225,1003.45374,0.07777777777777778
3500.6785,1036.8512,0.08055555555555556
3487.8472,1066.2981,0.08333333333333334
3493.3972,1085.1696,0.08611111111111111
3494.09,1089.8129,0.08888888888888889
3499.505,1116.0645,0.09166666666666667
3506.37,1129.1268,0.09444444444444444
3515.066,1148.1846,0.09722222222222222
3497.2954,1165.2373,0.1
3490.092,1189.1421,0.10277777777777779
3490.1365,1213.347,0.10555555555555556
3502.3838,1221.0724,0.10833333333333334
3485.5452,1236.4885,0.11111111111111112
3497.5583,1260.6997,0.11388888888888889
3497.789,1274.8796,0.11666666666666667
3498.1702,1291.578,0.11944444444444445
3522.0476,1318.7357,0.12222222222222223
3515.6665,1341.8031,0.125
3494.6313,1353.4624,0.1277777777777778
3482.969,1369.7336,0.13055555555555556
3491.7888,1392.3306,0.13333333333333333
3497.5408,1418.935,0.13611111111111113
3508.051,1425.546,0.1388888888888889
