Mainline_Demand,Onramp_Demand,Time [h]
3502.0588,496.09586,0.0
3500.4692,515.2537,0.002777777777777778
3493.938,532.6116,0.005555555555555556
3493.0427,562.34576,0.008333333333333333
3503.0723,581.19415,0.011111111111111112
3504.2932,587.2223,0.01388888888888889
3491.6956,611.2521,0.016666666666666666
3492.9128,627.12994,0.019444444444444445
3490.201,654.6206,0.022222222222222223
3502.0056,652.3918,0.025
3508.1987,690.8926,0.02777777777777778
3520.5413,709.08923,0.030555555555555558
3510.579,727.2674,0.03333333333333333
3491.1226,738.08997,0.036111111111111115
3495.9587,770.06506,0.03888888888888889
3509.9236,777.39124,0.04166666666666667
3503.3557,793.1423,0.044444444444444446
3490.4746,812.0726,0.04722222222222222
3507.8125,821.6321,0.05
3509.9766,855.3597,0.05277777777777778
3514.1633,865.3834,0.05555555555555556
3496.3328,886.3836,0.058333333333333334
3500.4277,894.84326,0.061111111111111116
3499.83,928.5905,0.0638888888888889
3490.3862,941.5019,0.06666666666666667
3514.6973,964.3058,0.06944444444444445
3470.749,985.1139,0.07222222222222223
3508.8865,1000.4136,0.075
3511.1382,1017.3474,0.07777777777777778
3499.372,1033.9095,0.08055555555555556
3495.015,1066.2299,0.08333333333333334
3507.7786,1073.1017,0.08611111111111111
3478.8127,1090.9908,0.08888888888888889
3497.5737,1105.6987,0.09166666666666667
3492.2603,1119.8097,0.09444444444444444
3483.7864,1159.8873,0.09722222222222222
3491.9236,1170.2065,0.1
3499.6162,1181.2771,0.10277777777777779
3489.1255,1198.0332,0.10555555555555556
3508.2944,1215.3907,0.10833333333333334
3489.0989,1237.9044,0.11111111111111112
3516.642,1255.1167,0.11388888888888889
3502.5015,1273.4336,0.11666666666666667
3512.8838,1291.5991,0.11944444444444445
3515.943,1319.1989,0.12222222222222223
3501.721,1331.1642,0.125
3489.3623,1350.4019,0.1277777777777778
3501.185,1368.0114,0.13055555555555556
3502.9653,1382.2318,0.13333333333333333
3492.59,1403.1372,0.13611111111111113
3496.1584,1419.1438,0.1388888888888889
3489.817,1454.5529,0.14166666666666666
3496.4392,1455.9844,0.14444444444444446
3494.8074,1486.0127,0.14722222222222223
3491.4458,1497.9802,0.15
3508.1511,1506.5201,0.1527777777777778
3506.095,1494.7174,0.15555555555555556
3512.2356,1497.5966,0.15833333333333333
3504.8574,1501.2135,0.16111111111111112
3501.996,1490.0448,0.1638888888888889
3496.0256,1495.8192,0.16666666666666669
