#{"t_start": 1748303398.252279, "env_id": "None"}
r,l,t
-4.729513,150,9834.760109
-6.489526,150,10884.171811
-4.309717,150,10894.693298
-5.126864,150,10903.88126
-11.64461,150,10909.381599
-7.800943,150,10916.243546
-7.062512,150,10925.632146
-10.198373,150,11892.509806
-4.643837,150,11907.630532
-9.356695,150,11912.474084
-4.084035,150,11923.188551
-6.394305,150,11934.522456
-5.817698,150,11951.537303
-11.645134,150,11961.611928
-9.492267,150,11973.138247
-6.888182,150,11981.030155
-7.784958,150,11987.755856
-3.504284,150,12004.088794
-7.561702,150,12019.654651
-6.038789,150,12024.907129
-9.364193,150,12034.293411
-3.440237,150,12043.237527
-9.166107,150,12051.489341
-5.864414,150,12058.324177
-6.362892,150,12064.81462
-5.42015,150,12070.734017
-4.861972,150,12078.574615
-3.205706,150,12092.234804
-9.311318,150,12105.400122
-8.86426,150,12118.364005
-6.876217,150,12127.703931
-6.975873,150,12135.300745
-8.430258,150,12144.20213
-9.674306,150,12156.343497
-9.335025,150,12164.353333
-7.80811,150,12169.288676
-9.257361,150,12182.438716
-8.499142,150,12188.815296
-7.431531,150,12199.724074
-8.051971,150,12207.256476
-5.194092,150,12222.69566
-8.950531,150,12231.424996
-10.583093,150,12240.460146
-14.119928,150,12248.544687
-10.887605,150,12257.278914
-5.335685,150,12266.293004
-9.327219,150,12274.630137
-2.382957,150,12280.964872
-3.092623,150,12288.10852
-9.244816,150,12295.963313
-5.762763,150,12304.09966
-3.976189,150,12311.561331
-6.689235,150,12319.948639
-8.987637,150,12325.536918
-4.703209,150,12344.81333
-10.475523,150,12351.305554
-10.480596,150,12358.238452
-8.564255,150,12365.193655
-7.920168,150,12373.02395
-6.931439,150,12392.065101
-2.958799,150,12401.193601
-2.311878,150,12409.418896
-5.372929,150,12417.303795
-8.36791,150,12425.107857
-8.73371,150,12433.229032
-5.410264,150,12440.284723
-5.425329,150,12455.843786
-6.639121,150,12462.506424
-6.813442,150,12471.737518
-8.172296,150,12482.452942
-8.076446,150,12500.662794
-6.694951,150,12512.674727
-8.674446,150,12519.701781
-6.941549,150,12528.584191
-9.042191,150,12543.763367
-3.271023,150,12552.734844
-12.296882,150,12558.344964
-9.094395,150,12566.052204
-4.862693,150,12574.499973
-6.152212,150,12581.115489
-6.538256,150,12588.3472
-6.711563,150,12595.240291
-8.377843,150,12605.185302
-9.315294,150,12610.748695
-2.957161,150,12619.816014
-10.732246,150,12633.036543
-9.694055,150,12639.789327
-6.911603,150,12651.642557
-7.28382,150,12660.101925
-7.82601,150,12668.449875
-6.577857,150,12681.903914
-8.505997,150,12690.412904
-7.510854,150,12701.600396
-7.361101,150,12707.730097
-6.335796,150,12715.926293
-6.411115,150,12722.653836
-7.908019,150,12729.403271
-7.735436,150,12737.404132
-6.722482,150,12746.497672
-5.39171,150,12755.540145
-5.094079,150,12763.929969
-11.947662,150,12773.39922
-5.199149,150,12785.926465
-5.179542,150,12797.684274
-6.153166,150,12804.744319
-8.186075,150,12810.708531
-6.032943,150,12817.210969
-8.7661,150,12824.08867
-8.10514,150,12835.639332
-5.780713,150,12842.525596
-9.488617,150,12851.949672
-3.246215,150,12863.203744
-6.890074,150,12874.377265
-10.429472,150,12879.459085
-7.753995,150,12885.720506
-4.590517,150,12900.299187
-8.88552,150,12906.393587
-5.339233,150,12913.219738
-8.138118,150,12919.194959
-8.224951,150,12926.779142
-9.660214,150,12934.403551
-9.814021,150,12943.77077
-2.790513,150,12952.622489
-5.341089,150,12959.606187
-6.56871,150,12965.113343
-3.407015,150,12973.742256
-6.148231,150,12983.740022
-3.880301,150,12993.897433
-4.509963,150,13001.002409
-11.940464,150,13009.292309
-7.02531,150,13017.452621
-5.403746,150,13028.158578
-6.843644,150,13037.555669
-7.422632,150,13053.254964
-9.822039,150,13061.669718
-8.988927,150,13069.884917
-4.685206,150,13079.610401
-5.755198,150,13088.040689
-7.964687,150,13095.047784
-7.14313,150,13106.317972
-7.908349,150,13114.064703
-8.044143,150,13120.904404
-10.300889,150,13129.452048
-4.726146,150,13137.418514
-2.975874,150,13145.937287
-7.824769,150,13155.486622
-8.260441,150,13162.032304
-10.28118,150,13174.983144
-9.408178,150,13184.266431
-5.663352,150,13191.827349
-9.061288,150,13198.39691
-6.441159,150,13206.145116
-8.441906,150,13214.765525
-3.537738,150,13232.450731
-4.095292,150,13240.958537
-4.752279,150,13250.500782
-5.57603,150,13257.478038
-5.48105,150,13266.140343
-12.445065,150,13274.513681
-8.647542,150,13279.483867
-6.873111,150,13286.572096
-9.602291,150,13294.847714
-10.744531,150,13301.582465
-9.202865,150,13316.01331
-3.508773,150,13330.710726
