#{"t_start": 1748261061.024931, "env_id": "None"}
r,l,t
-12.628587,150,2151.092556
-5.784098,150,2162.642094
-6.533467,150,2170.509928
-9.649543,150,2177.472397
-7.16405,150,2183.684372
-5.502687,150,2193.734651
-8.985946,150,2202.7673
-6.503285,150,2209.23018
-7.094011,150,2217.021872
-6.406346,150,2231.587676
-5.645289,150,2239.28555
-7.192546,150,2247.611243
-8.953187,150,2256.575219
-9.25455,150,2268.184707
-4.5414,150,2285.405215
-7.077711,150,2291.583205
-6.646808,150,2297.49388
-5.86931,150,2303.851247
-5.258039,150,2317.06058
-10.198543,150,2321.899167
-5.944155,150,2336.832279
-7.118273,150,2345.45556
-6.530667,150,2354.253909
-5.868668,150,2362.054385
-5.843408,150,2367.584422
-8.381353,150,2376.584914
-5.112971,150,2392.852823
-8.489825,150,2400.372312
-5.4634,150,2410.249237
-6.691854,150,2422.244387
-2.551459,150,2427.446306
-8.571913,150,2432.900467
-8.084254,150,2441.00629
-8.19278,150,2448.337013
-4.820289,150,2455.339474
-7.179981,150,2462.723768
-14.078006,150,2469.738695
-6.109446,150,2474.887649
-6.191734,150,2480.060033
-4.361485,150,2489.541091
-4.496224,150,2500.790026
-6.736166,150,2506.043189
-6.239092,150,2513.032062
-5.640999,150,2521.449703
-11.373569,150,2530.479559
-4.843409,150,2538.847732
-12.958627,150,2552.001201
-3.79734,150,2560.305116
-6.894602,150,2568.109223
-6.815464,150,2579.800919
-9.258024,150,2588.13447
-8.946954,150,2594.244266
-8.062208,150,2605.31833
-8.244832,150,2616.97948
-7.429674,150,2624.781831
-6.091291,150,2631.701937
-3.738776,150,2637.096668
-5.353789,150,2646.597997
-2.511232,150,2653.386856
-6.121618,150,2659.62626
-6.956667,150,2665.318833
-8.190261,150,2673.548474
-11.463945,150,2686.40351
-9.346771,150,2691.410063
-8.601954,150,2699.11249
-3.679914,150,2711.518534
