#{"t_start": 1751970741.425039, "env_id": "None"}
r,l,t
-3.020337,150,1914.583915
-9.210684,150,1929.373325
-8.928906,150,1932.78107
-9.474193,150,1936.325185
-4.747781,150,1941.706861
-6.401314,150,1960.275797
-9.676561,150,1963.662578
-6.458005,150,1968.175306
-7.229894,150,1973.014766
-8.242529,150,1977.970525
-9.59906,150,1981.452393
-8.585745,150,1984.825949
-3.773724,150,1994.762687
-6.687009,150,4008.033678
-8.360549,150,8322.043129
-8.759272,150,8325.975274
-6.088243,150,11460.899294
-7.968018,150,11480.991441
-9.951213,150,11484.526233
-9.300742,150,11488.106363
-7.898535,150,11492.232295
-8.667322,150,11513.455589
-8.512114,150,11518.229062
-8.558602,150,11522.034797
-8.805594,150,11526.338649
-5.843247,150,11531.320519
-6.103101,150,11536.192904
-3.273947,150,11545.514049
-3.273853,150,11551.158232
-8.657923,150,11555.292445
-8.466546,150,11575.939814
-9.014112,150,11579.495396
-3.936861,150,11586.037616
-8.202902,150,11589.921194
-5.766772,150,11606.133395
-7.204507,150,11611.720152
-8.078854,150,11631.475091
-3.039257,150,11638.255866
-5.931494,150,11643.871878
-7.62406,150,11660.912413
-9.588102,150,11664.478774
-6.504728,150,11675.387097
-8.91407,150,11679.369095
-4.703842,150,11686.765807
-6.071287,150,11703.34305
-3.097103,150,11712.009977
-9.5137,150,11716.097346
-7.740634,150,11744.47668
-7.218244,150,11767.461748
-10.17712,150,11771.0446
-9.958594,150,11776.568919
-5.832134,150,11783.038125
-7.241394,150,11788.926729
-9.34196,150,11799.90902
